parent_id	child_id	child_status	layer	decision_condition	dependencies
METRO-ADMISSIBILITY	METRO-ADMISSIBILITY-DIM	O	L6	closes positively by an exact admissibility theorem for higher dimensional supports; closes negatively by an exact inadmissible higher dimensional counterexample family	-
METRO-ADMISSIBILITY	METRO-ADMISSIBILITY-STREAM	O	L5	closes positively by an exact criterion for non finite state streams; closes negatively by a stream with no decidable admissibility reduction	-
METRO-ADMISSIBILITY	METRO-ADMISSIBILITY-MEMORY	O	L5	closes positively by an exact treatment of unbounded memory adaptive protocols; closes negatively by an adaptive protocol provably outside every finite reduction	-
METRO-ADMISSIBILITY	METRO-ADMISSIBILITY-STOCHASTIC	O	L6	closes positively by an exact finite reduction for the declared stochastic protocol class; closes negatively by a stochastic protocol with no exact reduction	-
METRO-ADMISSIBILITY	METRO-ADMISSIBILITY-IRRATIONAL	O	MULTI	closes positively by a declared carrier and cross layer normalization rule for irrational values; closes negatively by a value with no declared carrier	-
METRO-ADMISSIBILITY	METRO-ADMISSIBILITY-UNITS	O	NOT_APPLICABLE	closes positively by the public physical unit clause over the single electron mass bridge; closes negatively by an inconsistency between declared units and the bridge	-
METRO-EDGE-SCALE	METRO-EDGE-SELECTOR	O	L2	closes positively by a canonical public selector on the commutator phi ladder; closes negatively by a proof that no public finite block selects a single scale	METRO-TICK
METRO-EDGE-SCALE	METRO-SI-SECOND	O	NOT_APPLICABLE	closes positively by the public SI second clause over the single electron mass anchor; closes negatively by an exact inconsistency in the tick to second dictionary	METRO-TICK
METRO-EDGE-SCALE	METRO-SI-METER	O	NOT_APPLICABLE	closes positively by the public SI meter clause once the edge selector exists; closes negatively by an exact inconsistency in the edge to meter dictionary	METRO-EDGE-SELECTOR
QUANT-SUBSTRATE	QUANT-LARMOR-GATE	O	L5	closes positively by the public Larmor gate executed with an exact witness; closes negatively by an exact mismatch between the kernel precession and the gate target	-
QUANT-SUBSTRATE	QUANT-SCHWINGER-TERM	H	MULTI	closes positively by a public derivation landing the first order coefficient exactly on the hypothesis value 1/(2 pi); closes negatively by an exact derivation of any other value	ELECTRON-G-TREE
SCHEME-DICTIONARY	SCHEME-COUPLING-MAP	O	NOT_APPLICABLE	closes positively by a public exact map from the seed couplings to a declared measured scheme; closes negatively by a proof that no such exact map exists at the declared scope	STRONG-SEED
SCHEME-DICTIONARY	SCHEME-THRESHOLD-CHAIN	O	NOT_APPLICABLE	closes positively by the public matched threshold chain with every input declared; closes negatively by a fired threshold fit falsifier at the declared scope	SCHEME-COUPLING-MAP
SCHEME-DICTIONARY	SCHEME-VOLUME-NORMALIZATION	O	NOT_APPLICABLE	closes positively by the public volume normalization clause of the dictionary; closes negatively by an exact inconsistency between the declared volumes	-
PHOTON-WINDOW-PROOF	PHOTON-KAPPA-LEMMA	O	NOT_APPLICABLE	closes positively by a public exact proof that every closed charge 5 worldline of length L forces F_occ >= kappa L with 2^(4 kappa) > 2401; closes negatively by an exact counterexample family below the threshold	KAPPA-BOUNDS;KAPPA-SHAPES;MONOPOLE-FIFTHS;MONOPOLE-COST
PHOTON-WINDOW-PROOF	PHOTON-ROUGHENING-CERTIFICATE	O	NOT_APPLICABLE	closes positively by a public electric face roughening certificate sufficient for the declared Froehlich-Spencer class import; closes negatively by a certified failure of the declared roughening criterion	PHOTON-WINDOW-COORDINATES
LORENTZ-A2A3	LORENTZ-A2-CHAIN	O	L2	closes positively by a public finite action chain establishing the A2 clause exactly; closes negatively by an exact obstruction inside the declared chain	-
LORENTZ-A2A3	LORENTZ-A3-CHAIN	O	L2	closes positively by a public finite action chain establishing the A3 clause exactly; closes negatively by an exact obstruction inside the declared chain	-
LORENTZ-A2A3	LORENTZ-K6-DECISION	O	L2	closes positively by an exact public decision that the K6 coefficient vanishes at the declared scope; closes negatively by an exact nonzero K6 witness	LORENTZ-A2-CHAIN;LORENTZ-A3-CHAIN
